-2.900000	120	0.200000
-2.700000	206	0.200000
-2.500000	354	0.200000
-2.300000	548	0.200000
-2.100000	887	0.200000
-1.900000	1309	0.200000
-1.700000	1821	0.200000
-1.500000	2556	0.200000
-1.300000	3401	0.200000
-1.100000	4397	0.200000
-0.900000	5227	0.200000
-0.700000	6385	0.200000
-0.500000	6998	0.200000
-0.300000	7715	0.200000
-0.100000	7778	0.200000
0.100000	7881	0.200000
0.300000	7612	0.200000
0.500000	7013	0.200000
0.700000	6310	0.200000
0.900000	5401	0.200000
1.100000	4386	0.200000
1.300000	3452	0.200000
1.500000	2572	0.200000
1.700000	1868	0.200000
1.900000	1322	0.200000
2.100000	933	0.200000
2.300000	573	0.200000
2.500000	354	0.200000
2.700000	206	0.200000
2.900000	123	0.200000
# values outside range: <-3 (154), >=3 (138)
